date,country,vaccinated_once,vaccinated_fully
2020-12-05,Egypt,0,0
2020-12-05,El Salvador,0,0
2020-12-05,Equatorial Guinea,0,0
2020-12-05,Estonia,0,0
2020-12-05,Eswatini,0,0
2020-12-05,Ethiopia,0,0
2020-12-05,Fiji,0,0
2020-12-05,Finland,0,0
2020-12-05,France,0,0
2020-12-05,Gabon,0,0
2020-12-05,Gambia,0,0
2020-12-05,Georgia,0,0
2020-12-05,Germany,0,0
2020-12-05,Ghana,0,0
2020-12-05,Greece,0,0
2020-12-05,Grenada,0,0
2020-12-05,Guatemala,0,0
2020-12-05,Guinea,0,0
2020-12-05,Guinea-Bissau,0,0
2020-12-05,Guyana,0,0
2020-12-05,Haiti,0,0
2020-12-05,Honduras,0,0
2020-12-05,Hungary,0,0
2020-12-05,Iceland,0,0
2020-12-05,India,0,0
2020-12-05,Indonesia,0,0
